profile_id,upper_depth,lower_depth,tceq_value_avg,clay_value_avg,elcosp_value_avg,orgc_value_avg,phaq_value_avg,sand_value_avg,silt_value_avg,latitude,longitude
216439,40,60,0.0,,0.0,0.0,,,,21.91691947,-99.60548056
216439,60,90,524.0,,0.10000000099999999,3.0,8.39999962,,,21.91691947,-99.60548056
216439,18,40,385.0,20.0,0.200000003,2.0,8.10000038,62.0,18.0,21.91691947,-99.60548056
216439,110,125,380.0,22.0,0.10000000099999999,1.0,8.89999962,52.0,26.0,21.91691947,-99.60548056
216439,90,110,454.0,16.0,0.10000000099999999,2.0,8.80000019,60.0,24.0,21.91691947,-99.60548056
216439,0,18,414.0,18.0,0.200000003,3.0,8.19999981,62.0,20.0,21.91691947,-99.60548056
210573,40,54,,,30.0,,7.900000099999999,,,27.78306841,-114.66430428
210573,76,82,,2.0,20.0,,8.10000038,26.0,72.0,27.78306841,-114.66430428
210573,105,125,,42.0,25.0,,8.19999981,18.0,40.0,27.78306841,-114.66430428
210573,54,76,,2.0,30.0,,8.30000019,18.0,80.0,27.78306841,-114.66430428
210573,82,105,,2.0,20.0,,8.10000038,18.0,80.0,27.78306841,-114.66430428
210573,0,18,,28.0,50.0,,7.599999900000001,70.0,2.0,27.78306841,-114.66430428
210573,18,40,,44.0,40.0,,8.0,18.0,38.0,27.78306841,-114.66430428
210595,0,35,,,25.0,,7.900000099999999,,,27.28101312,-114.07854584
210767,0,24,,,1.0,,8.19999981,,,27.95826765,-109.93083541
210767,24,55,,10.0,1.0,,8.39999962,82.0,8.0,27.95826765,-109.93083541
210857,30,64,,,2.29999995,,8.39999962,,,27.36351527,-107.93980696
210857,0,30,,20.0,1.0,,8.39999962,68.0,12.0,27.36351527,-107.93980696
210857,64,90,,26.0,4.19999981,,8.0,56.0,18.0,27.36351527,-107.93980696
210857,90,120,,24.0,4.30000019,,8.0,56.0,20.0,27.36351527,-107.93980696
210940,22,125,,,40.0,,8.19999981,,,26.62099999,-112.655466
210940,0,22,,18.0,40.0,,5.5999999,42.0,40.0,26.62099999,-112.655466
211142,0,9,,,1.0,,8.19999981,,,25.39960599,-111.71421969
211142,12,35,,16.0,5.5,,7.900000099999999,78.0,6.0,25.39960599,-111.71421969
211142,35,50,,18.0,4.0,,7.400000099999999,78.0,4.0,25.39960599,-111.71421969
211142,50,78,,18.0,11.0,,7.69999981,76.0,6.0,25.39960599,-111.71421969
211142,78,89,,24.0,15.0,,8.0,72.0,4.0,25.39960599,-111.71421969
211142,89,122,,26.0,11.5,,8.10000038,68.0,6.0,25.39960599,-111.71421969
211163,58,100,,,25.0,,7.80000019,,,25.15268256,-111.23941347
211163,30,58,,48.0,15.0,,7.80000019,34.0,18.0,25.15268256,-111.23941347
211163,0,30,,46.0,3.0,,8.10000038,32.0,22.0,25.15268256,-111.23941347
211301,0,8,,,1.0,,5.0,,,27.36549033,-107.61314549
211301,8,26,,18.0,1.0,,5.5,52.0,30.0,27.36549033,-107.61314549
211322,67,95,,,1.0,,8.10000038,,,27.14346254,-106.27910833
211322,11,41,,,1.0,,7.900000099999999,,,27.14346254,-106.27910833
211322,41,67,,,1.0,,7.900000099999999,,,27.14346254,-106.27910833
211322,0,5,,18.0,1.0,,5.69999981,62.0,20.0,27.14346254,-106.27910833
211322,0,11,,16.0,1.0,,7.900000099999999,64.0,20.0,27.14346254,-106.27910833
211336,18,50,,,1.0,,5.5,,,27.04316936,-107.6258649
